id,transaction_per_day,age,weight,height,prosperity_level
2868,31,32,50.08 kg,165.08 cm,Low
2869,22,92,79.41 kg,175.78 cm,High
2870,17,70,72.43 kg,166.93 cm,
2871,44,27,75.37 kg,179.37 cm,Low
2872,35,35,62.15 kg,155.36 cm,Average
2873,26,41,52.66 kg,151.82 cm,Low
2874,46,23,59.45 kg,153.71 cm,Average
2875,27,31,68.8 kg,154.16 cm,Average
2876,25,26,58.55 kg,167.65 cm,Low
2877,21,80,55.76 kg,155.6 cm,High
2878,21,50,74.49 kg,164.19 cm,Average
2879,32,44,67.97 kg,154.44 cm,Average
2880,19,86,72.32 kg,179.56 cm,Average
2881,21,81,56.73 kg,176.95 cm,High
2882,22,70,72.38 kg,166.9 cm,Average
2883,41,46,72.51 kg,165.47 cm,Average
2884,23,73,57.46 kg,150.2 cm,Average
2885,28,50,52.67 kg,154.81 cm,Low
2886,31,25,65.02 kg,152.77 cm,Low
2887,19,42,55.37 kg,156.69 cm,Average
2888,18,61,65.41 kg,179.53 cm,High
2889,20,65,72.27 kg,156.35 cm,High
2890,27,89,64.25 kg,174.74 cm,Average
2891,16,86,60.59 kg,151.08 cm,High
2892,34,50,74.83 kg,174.5 cm,Average
2893,29,31,50.53 kg,168.19 cm,Low
2894,12,42,69.43 kg,170.55 cm,High
2895,19,57,78.53 kg,152.7 cm,Low
2896,21,63,78.95 kg,159.54 cm,High
2897,20,52,52.85 kg,171.88 cm,High
2898,22,70,50.41 kg,175.25 cm,High
2899,22,29,57.18 kg,173.01 cm,Average
2900,21,28,62.78 kg,154.0 cm,Average
2901,33,56,70.07 kg,157.27 cm,Average
2902,39,53,62.48 kg,158.24 cm,Low
2903,24,52,57.4 kg,179.75 cm,High
2904,47,49,63.17 kg,173.88 cm,Average
2905,16,58,66.88 kg,163.67 cm,Average
2906,45,52,71.81 kg,150.08 cm,Low
2907,42,27,74.98 kg,157.74 cm,Average
2908,26,32,61.04 kg,171.98 cm,Average
2909,20,75,76.42 kg,154.42 cm,Average
2910,40,26,,162.58 cm,Average
2911,20,54,67.18 kg,178.99 cm,Average
2912,21,39,74.37 kg,179.45 cm,Low
2913,18,79,54.99 kg,153.54 cm,Average
2914,23,57,57.45 kg,162.03 cm,High
2915,27,64,51.83 kg,169.98 cm,High
2916,18,60,58.42 kg,165.89 cm,High
2917,36,18,57.14 kg,163.44 cm,Low
2918,17,41,56.52 kg,161.02 cm,Average
2919,25,94,54.93 kg,178.44 cm,Average
2920,22,52,73.52 kg,176.71 cm,High
2921,26,56,54.31 kg,164.9 cm,High
2922,34,45,64.82 kg,179.6 cm,Low
2923,26,73,79.53 kg,155.28 cm,Average
2924,21,53,75.27 kg,174.81 cm,Low
2925,28,67,66.39 kg,171.01 cm,Average
2926,27,48,58.13 kg,171.59 cm,High
2927,17,92,73.38 kg,178.43 cm,Average
2928,25,88,77.2 kg,152.67 cm,High
2929,32,47,58.58 kg,155.44 cm,Low
2930,26,20,59.24 kg,159.15 cm,Low
2931,24,,74.69 kg,154.18 cm,Average
2932,25,73,53.81 kg,164.58 cm,Average
2933,18,32,62.51 kg,174.52 cm,Average
2934,21,43,65.67 kg,159.07 cm,Average
2935,48,27,68.58 kg,165.51 cm,Low
2936,17,63,75.35 kg,160.08 cm,Average
2937,23,45,61.44 kg,157.21 cm,Average
2938,21,54,79.9 kg,163.2 cm,Average
2939,16,79,54.09 kg,161.68 cm,High
2940,20,75,76.86 kg,153.09 cm,Average
2941,28,57,58.99 kg,151.98 cm,Average
2942,36,54,62.48 kg,155.57 cm,Average
2943,46,48,72.26 kg,169.41 cm,Low
2944,20,72,56.81 kg,155.63 cm,High
2945,28,27,61.46 kg,177.2 cm,Average
2946,17,89,50.29 kg,174.22 cm,High
2947,17,62,53.37 kg,170.14 cm,High
2948,39,36,69.14 kg,171.36 cm,Low
2949,35,36,56.75 kg,171.66 cm,Low
2950,26,36,58.64 kg,164.44 cm,Low
2951,17,51,72.67 kg,163.28 cm,Average
2952,35,23,71.15 kg,154.6 cm,Average
2953,33,19,63.17 kg,165.15 cm,Average
2954,27,22,70.07 kg,155.62 cm,Average
2955,19,80,58.78 kg,155.6 cm,Average
2956,20,63,71.91 kg,176.76 cm,High
2957,21,23,61.24 kg,168.86 cm,Low
2958,22,45,52.89 kg,163.4 cm,High
2959,21,,70.78 kg,179.51 cm,Average
2960,18,49,73.68 kg,153.53 cm,Average
2961,16,54,73.28 kg,179.1 cm,Average
2962,25,88,51.76 kg,165.46 cm,Average
2963,,71,72.11 kg,156.52 cm,High
2964,11,65,68.89 kg,,High
2965,45,22,59.32 kg,152.21 cm,Average
2966,40,49,76.84 kg,160.3 cm,Low
2967,32,42,71.49 kg,179.97 cm,Average
2968,24,48,78.19 kg,176.89 cm,Average
2969,37,20,59.14 kg,150.14 cm,Average
2970,20,37,62.78 kg,151.84 cm,Low
2971,25,95,66.23 kg,166.98 cm,High
2972,32,47,65.42 kg,168.15 cm,Average
2973,49,33,55.96 kg,164.86 cm,Low
2974,27,27,50.71 kg,151.92 cm,Average
2975,12,86,64.18 kg,165.66 cm,High
2976,25,52,,167.0 cm,Average
2977,48,29,62.9 kg,175.54 cm,Average
2978,23,73,76.3 kg,153.21 cm,Average
2979,26,70,63.02 kg,172.3 cm,Average
2980,34,25,54.09 kg,170.29 cm,Low
2981,21,32,60.71 kg,157.05 cm,Low
2982,29,19,55.05 kg,153.7 cm,Average
2983,35,40,54.11 kg,151.47 cm,Low
2984,19,62,50.41 kg,150.44 cm,High
2985,18,82,54.37 kg,161.66 cm,Average
2986,25,55,56.75 kg,172.01 cm,Low
2987,11,55,71.47 kg,159.04 cm,Average
2988,26,46,,166.27 cm,High
2989,42,37,73.6 kg,158.95 cm,Low
2990,33,54,,150.45 cm,Average
2991,21,18,73.35 kg,151.32 cm,Average
2992,35,36,64.87 kg,177.12 cm,Low
2993,29,27,67.61 kg,174.47 cm,Average
2994,25,79,56.85 kg,176.33 cm,Average
2995,15,65,61.26 kg,163.76 cm,High
2996,23,83,77.54 kg,158.69 cm,High
2997,23,79,78.27 kg,151.67 cm,Average
2998,17,22,55.42 kg,172.81 cm,Low
2999,17,24,75.12 kg,156.03 cm,Low
3000,48,36,65.52 kg,155.08 cm,Average
3001,40,40,75.3 kg,159.54 cm,Average
3002,30,17,67.73 kg,156.97 cm,Average
3003,35,48,64.84 kg,153.62 cm,
3004,44,39,78.63 kg,162.42 cm,Average
3005,17,49,69.58 kg,159.97 cm,High
3006,21,58,60.66 kg,177.17 cm,Average
3007,36,31,58.61 kg,156.48 cm,Average
3008,22,18,68.55 kg,174.5 cm,Average
3009,23,84,66.72 kg,175.54 cm,
3010,20,72,55.96 kg,170.6 cm,Average
3011,41,52,58.7 kg,166.55 cm,Average
3012,28,93,59.58 kg,174.85 cm,Average
3013,36,17,71.98 kg,175.98 cm,Average
3014,20,28,62.86 kg,169.55 cm,Low
3015,26,44,64.5 kg,176.65 cm,Average
3016,15,58,50.8 kg,162.91 cm,High
3017,38,58,52.72 kg,179.73 cm,Average
3018,32,25,52.87 kg,167.67 cm,Average
3019,48,56,74.73 kg,170.76 cm,Average
3020,17,53,67.49 kg,178.13 cm,Average
3021,22,82,56.81 kg,161.94 cm,Average
3022,22,50,57.89 kg,154.4 cm,Average
3023,22,90,55.54 kg,165.82 cm,High
3024,34,34,73.53 kg,162.9 cm,Low
3025,19,76,69.21 kg,167.21 cm,High
3026,17,88,78.39 kg,162.64 cm,Average
3027,18,22,69.07 kg,170.39 cm,Average
3028,22,68,73.74 kg,162.22 cm,High
3029,22,85,78.7 kg,165.83 cm,Average
3030,21,60,73.54 kg,168.8 cm,Average
3031,20,52,60.63 kg,178.51 cm,Average
3032,20,81,74.41 kg,158.76 cm,High
3033,16,63,76.91 kg,150.57 cm,High
3034,20,57,56.17 kg,157.71 cm,High
3035,40,42,79.85 kg,177.13 cm,Low
3036,20,52,64.14 kg,179.25 cm,High
3037,14,81,63.53 kg,155.18 cm,Average
3038,24,51,78.23 kg,166.06 cm,Average
3039,30,51,,170.41 cm,Low
3040,28,56,53.49 kg,157.21 cm,High
3041,37,52,65.65 kg,153.61 cm,Average
3042,40,47,62.67 kg,156.32 cm,Average
3043,48,,64.4 kg,174.61 cm,Average
3044,13,81,54.73 kg,162.31 cm,High
3045,21,71,60.17 kg,177.05 cm,Average
3046,14,83,66.71 kg,178.91 cm,Average
3047,22,51,51.49 kg,151.39 cm,Average
3048,25,68,75.09 kg,167.15 cm,Average
3049,18,54,68.73 kg,164.43 cm,Average
3050,25,80,61.45 kg,174.26 cm,Average
3051,41,40,60.37 kg,166.54 cm,Low
3052,37,46,73.47 kg,178.9 cm,Low
3053,25,48,56.03 kg,171.88 cm,Average
3054,34,49,51.41 kg,167.5 cm,Average
3055,44,39,72.95 kg,170.31 cm,Low
3056,20,68,70.37 kg,159.87 cm,High
3057,30,71,50.54 kg,167.48 cm,Average
3058,33,35,75.6 kg,150.36 cm,Average
3059,,65,50.94 kg,179.05 cm,Average
3060,20,74,56.55 kg,171.5 cm,High
3061,28,28,75.39 kg,173.78 cm,Low
3062,40,30,71.27 kg,177.46 cm,Low
3063,19,61,55.0 kg,156.4 cm,Average
3064,21,58,74.71 kg,152.29 cm,High
3065,30,86,72.65 kg,152.5 cm,High
3066,22,26,69.14 kg,160.74 cm,Low
3067,22,41,53.34 kg,159.54 cm,Average
3068,18,61,71.97 kg,166.58 cm,Average
3069,21,64,74.72 kg,161.97 cm,High
3070,20,47,59.23 kg,162.9 cm,Average
3071,35,32,51.4 kg,155.46 cm,Average
3072,23,84,76.78 kg,153.66 cm,Average
3073,38,,53.72 kg,175.56 cm,Average
3074,24,83,66.61 kg,165.22 cm,High
3075,27,58,51.52 kg,166.05 cm,High
3076,,34,53.27 kg,151.01 cm,Low
3077,21,54,60.6 kg,171.87 cm,Average
3078,19,73,55.62 kg,163.32 cm,Average
3079,15,74,75.7 kg,154.45 cm,Average
3080,21,48,67.04 kg,166.66 cm,Average
3081,27,67,68.4 kg,157.04 cm,Average
3082,18,80,77.76 kg,177.24 cm,Average
3083,16,72,70.25 kg,158.65 cm,High
3084,25,42,56.69 kg,152.21 cm,Low
3085,22,64,65.36 kg,154.25 cm,High
3086,21,77,51.52 kg,161.47 cm,Average
3087,26,27,65.37 kg,157.89 cm,Low
3088,47,36,75.75 kg,153.07 cm,Low
3089,20,54,65.29 kg,163.83 cm,High
3090,27,78,64.84 kg,172.56 cm,High
3091,29,22,59.37 kg,178.08 cm,Low
3092,34,26,63.01 kg,170.32 cm,Low
3093,29,19,50.93 kg,175.01 cm,Low
3094,46,56,58.13 kg,161.53 cm,Average
3095,14,67,57.11 kg,151.19 cm,Average
3096,38,31,50.24 kg,172.51 cm,Low
3097,21,74,72.49 kg,176.26 cm,Average
3098,15,86,56.86 kg,153.97 cm,Average
3099,43,47,51.18 kg,157.55 cm,Low
3100,16,90,64.88 kg,151.88 cm,Average
3101,20,58,73.79 kg,155.32 cm,High
3102,44,36,60.92 kg,154.18 cm,Low
3103,33,20,62.22 kg,150.62 cm,Average
3104,24,44,78.46 kg,156.56 cm,Low
3105,21,39,78.66 kg,152.47 cm,Low
3106,45,37,55.73 kg,160.5 cm,Average
3107,41,44,74.01 kg,151.64 cm,Low
3108,19,37,64.94 kg,172.68 cm,Average
3109,28,51,56.1 kg,150.53 cm,Average
3110,37,40,59.9 kg,167.82 cm,Average
3111,18,94,62.65 kg,158.42 cm,Average
3112,16,74,65.19 kg,166.93 cm,High
3113,25,58,67.62 kg,160.1 cm,High
3114,19,70,63.25 kg,153.61 cm,Average
3115,21,57,59.14 kg,165.06 cm,Average
3116,21,77,66.25 kg,158.54 cm,High
3117,14,58,61.88 kg,177.66 cm,High
3118,27,28,64.56 kg,153.91 cm,Low
3119,30,29,59.48 kg,158.56 cm,Low
3120,42,22,75.46 kg,167.26 cm,Low
3121,23,94,66.95 kg,171.28 cm,High
3122,27,91,51.75 kg,156.61 cm,Average
3123,16,68,55.22 kg,171.8 cm,High
3124,20,77,62.86 kg,168.64 cm,High
3125,43,50,57.7 kg,151.95 cm,Average
3126,21,31,60.95 kg,158.36 cm,Low
3127,28,55,71.17 kg,169.07 cm,High
3128,19,23,56.02 kg,173.3 cm,Average
3129,13,85,78.7 kg,150.87 cm,Average
3130,21,71,57.24 kg,165.69 cm,High
3131,14,63,72.7 kg,178.88 cm,Average
3132,16,70,59.95 kg,170.55 cm,High
3133,14,59,78.79 kg,156.48 cm,Average
3134,19,39,69.8 kg,178.0 cm,Low
3135,46,20,67.72 kg,150.91 cm,Low
3136,19,55,74.88 kg,158.83 cm,Average
3137,33,46,65.55 kg,153.04 cm,Average
3138,39,35,64.83 kg,166.0 cm,Average
3139,36,37,68.79 kg,150.25 cm,Low
3140,21,58,73.35 kg,175.28 cm,Average
3141,27,60,73.1 kg,153.98 cm,Average
3142,38,34,65.1 kg,166.28 cm,Low
3143,14,77,70.3 kg,159.4 cm,Average
3144,23,63,56.13 kg,162.22 cm,High
3145,12,51,75.97 kg,175.02 cm,High
3146,14,77,72.72 kg,158.7 cm,High
3147,17,85,54.03 kg,155.53 cm,High
3148,24,50,75.27 kg,169.28 cm,Average
3149,30,27,60.68 kg,160.73 cm,Average
3150,25,51,62.26 kg,158.27 cm,High
3151,17,79,77.5 kg,173.14 cm,High
3152,16,33,68.71 kg,171.5 cm,Low
3153,42,18,63.06 kg,163.23 cm,Average
3154,18,47,63.11 kg,168.87 cm,Average
3155,23,81,61.18 kg,151.0 cm,High
3156,14,61,60.7 kg,164.36 cm,Average
3157,22,89,73.64 kg,173.5 cm,High
3158,24,44,69.06 kg,151.42 cm,Average
3159,24,54,54.37 kg,156.28 cm,Average
3160,28,58,68.65 kg,165.5 cm,Average
3161,24,55,76.24 kg,170.23 cm,Average
3162,16,30,54.32 kg,160.48 cm,Average
3163,20,45,64.95 kg,167.12 cm,High
3164,28,54,78.08 kg,160.45 cm,Low
3165,20,32,58.74 kg,157.55 cm,Low
3166,40,44,66.76 kg,163.74 cm,Average
3167,37,34,67.81 kg,158.88 cm,Average
3168,24,82,76.03 kg,156.7 cm,High
3169,20,42,,159.0 cm,High
3170,21,59,73.46 kg,161.92 cm,High
3171,26,29,66.42 kg,176.1 cm,Low
3172,19,41,61.61 kg,159.3 cm,Average
3173,15,90,60.81 kg,163.18 cm,Average
3174,42,31,72.86 kg,152.22 cm,Low
3175,20,76,76.04 kg,150.34 cm,Average
3176,33,37,62.36 kg,163.66 cm,Average
3177,19,67,61.2 kg,158.08 cm,High
3178,32,55,75.83 kg,151.3 cm,Average
3179,15,79,64.06 kg,162.57 cm,High
3180,19,43,75.17 kg,164.76 cm,Average
3181,42,34,62.82 kg,158.97 cm,Average
3182,22,46,,153.47 cm,Average
3183,23,52,57.93 kg,150.79 cm,Average
3184,21,80,60.78 kg,177.63 cm,Average
3185,43,43,55.6 kg,159.22 cm,Low
3186,25,55,55.46 kg,155.79 cm,Average
3187,18,50,71.13 kg,169.84 cm,Low
3188,19,40,52.22 kg,152.92 cm,Low
3189,39,24,62.29 kg,172.0 cm,Average
3190,18,33,73.38 kg,158.81 cm,Average
3191,27,27,71.55 kg,168.26 cm,Average
3192,17,45,68.04 kg,166.42 cm,High
3193,34,34,73.63 kg,157.13 cm,Average
3194,16,66,50.53 kg,158.8 cm,High
3195,21,63,59.47 kg,161.97 cm,Average
3196,15,46,74.65 kg,173.15 cm,Average
3197,42,23,67.93 kg,172.68 cm,Average
3198,19,56,79.12 kg,176.22 cm,Average
3199,21,41,74.51 kg,169.08 cm,Low
3200,,19,64.26 kg,179.74 cm,Average
3201,19,83,79.02 kg,169.18 cm,High
3202,23,63,77.7 kg,170.07 cm,Average
3203,38,30,79.37 kg,163.42 cm,Low
3204,28,31,69.86 kg,154.16 cm,Low
3205,21,91,54.27 kg,158.96 cm,High
3206,45,29,75.8 kg,179.3 cm,Average
3207,19,76,73.17 kg,169.86 cm,Average
3208,47,42,77.8 kg,152.75 cm,Average
3209,14,70,73.4 kg,166.71 cm,Average
3210,22,61,71.08 kg,153.79 cm,Average
3211,13,90,68.95 kg,158.98 cm,Average
3212,21,88,55.68 kg,177.4 cm,High
3213,47,34,70.83 kg,175.94 cm,Average
3214,27,52,68.96 kg,158.29 cm,High
3215,33,54,67.53 kg,160.05 cm,Average
3216,24,85,58.41 kg,179.58 cm,High
3217,23,53,74.12 kg,163.85 cm,High
3218,19,79,65.22 kg,159.48 cm,Average
3219,32,41,63.37 kg,166.0 cm,Low
3220,28,55,50.11 kg,179.56 cm,Low
3221,24,92,50.17 kg,158.34 cm,Average
3222,23,64,60.61 kg,174.1 cm,Average
3223,19,35,78.29 kg,152.68 cm,Average
3224,32,32,69.24 kg,165.22 cm,Average
3225,20,90,63.36 kg,166.7 cm,High
3226,41,41,52.01 kg,171.64 cm,Low
3227,45,46,67.96 kg,175.35 cm,Average
3228,19,71,79.62 kg,,High
3229,24,53,72.44 kg,163.5 cm,Average
3230,21,57,76.74 kg,169.56 cm,Average
3231,42,26,57.19 kg,161.1 cm,Average
3232,25,27,51.11 kg,164.68 cm,Low
3233,23,64,61.8 kg,151.54 cm,High
3234,38,18,75.25 kg,172.33 cm,Low
3235,27,57,62.2 kg,178.88 cm,High
3236,20,54,50.3 kg,168.61 cm,Average
3237,19,42,61.59 kg,161.16 cm,Average
3238,20,79,53.96 kg,153.7 cm,Average
3239,33,34,59.05 kg,175.28 cm,Low
3240,17,61,51.52 kg,155.3 cm,Average
3241,24,69,77.03 kg,177.16 cm,Average
3242,36,38,71.64 kg,179.1 cm,Average
3243,12,78,79.21 kg,170.85 cm,Average
3244,37,40,74.47 kg,173.65 cm,Average
3245,21,73,68.9 kg,158.42 cm,High
3246,22,80,73.22 kg,169.61 cm,High
3247,17,93,73.84 kg,179.41 cm,Average
3248,24,29,55.33 kg,166.5 cm,Average
3249,21,56,77.38 kg,155.03 cm,Average
3250,22,54,61.05 kg,160.9 cm,Average
3251,22,68,72.41 kg,166.82 cm,High
3252,20,69,61.67 kg,156.49 cm,Average
3253,36,48,68.51 kg,175.05 cm,Average
3254,14,88,72.35 kg,156.6 cm,High
3255,20,82,74.51 kg,170.3 cm,High
3256,38,48,76.41 kg,166.17 cm,Average
3257,33,34,58.65 kg,166.37 cm,Low
3258,31,27,75.48 kg,172.58 cm,Average
3259,23,75,76.01 kg,172.33 cm,Average
3260,24,50,72.51 kg,159.94 cm,Average
3261,22,71,58.51 kg,160.84 cm,High
3262,19,83,51.29 kg,179.79 cm,Average
3263,31,56,53.58 kg,157.49 cm,Average
3264,30,70,63.64 kg,163.4 cm,High
3265,34,47,58.69 kg,154.91 cm,Average
3266,23,58,62.72 kg,151.21 cm,High
3267,40,47,76.12 kg,150.35 cm,Low
3268,20,85,78.65 kg,174.19 cm,High
3269,36,35,51.49 kg,175.74 cm,Low
3270,27,89,71.04 kg,157.62 cm,High
3271,26,84,66.39 kg,166.47 cm,Average
3272,19,66,59.36 kg,166.61 cm,High
3273,34,45,61.82 kg,164.72 cm,Low
3274,15,73,70.0 kg,154.06 cm,Average
3275,11,54,58.78 kg,155.73 cm,High
3276,19,81,66.35 kg,175.02 cm,Average
3277,27,63,77.34 kg,158.8 cm,High
3278,45,56,68.2 kg,161.36 cm,
3279,22,58,79.86 kg,177.07 cm,High
3280,20,92,70.22 kg,175.1 cm,High
3281,14,80,59.54 kg,179.75 cm,High
3282,27,30,60.39 kg,168.77 cm,Average
3283,24,84,54.41 kg,156.56 cm,Average
3284,28,73,65.11 kg,165.97 cm,Average
3285,18,64,74.34 kg,173.13 cm,Average
3286,19,62,65.25 kg,159.43 cm,Average
3287,23,85,61.5 kg,166.96 cm,High
3288,21,46,68.06 kg,157.78 cm,Average
3289,27,91,59.52 kg,162.48 cm,
3290,17,84,75.12 kg,165.5 cm,High
3291,27,31,69.62 kg,156.34 cm,Average
3292,37,23,64.99 kg,152.53 cm,Average
3293,29,28,71.83 kg,166.13 cm,Average
3294,36,52,72.46 kg,157.13 cm,Average
3295,16,88,60.18 kg,172.34 cm,Average
3296,16,52,61.17 kg,177.62 cm,Average
3297,21,50,52.15 kg,151.26 cm,Average
3298,13,47,72.31 kg,162.57 cm,High
3299,27,54,61.57 kg,165.48 cm,Average
3300,36,45,70.82 kg,157.85 cm,Low
3301,36,43,64.18 kg,152.23 cm,Low
3302,14,71,77.01 kg,176.34 cm,High
3303,23,56,77.19 kg,161.13 cm,Average
3304,43,20,73.26 kg,170.2 cm,Average
3305,40,29,67.62 kg,159.3 cm,Average
3306,18,77,68.69 kg,151.55 cm,High
3307,26,60,67.66 kg,155.85 cm,High
3308,43,54,62.63 kg,163.75 cm,Average
3309,20,54,52.17 kg,179.91 cm,High
3310,23,73,69.13 kg,171.71 cm,High
3311,19,83,57.28 kg,153.5 cm,High
3312,19,45,56.6 kg,168.99 cm,Low
3313,24,57,55.15 kg,158.06 cm,Average
3314,35,39,58.43 kg,179.87 cm,Average
3315,18,50,66.8 kg,178.05 cm,Average
3316,25,72,74.5 kg,152.52 cm,Average
3317,18,77,67.1 kg,177.55 cm,Average
3318,33,41,69.26 kg,169.42 cm,Average
3319,24,73,62.81 kg,153.74 cm,High
3320,21,52,72.44 kg,150.05 cm,High
3321,34,50,59.27 kg,177.9 cm,Low
3322,32,42,68.09 kg,158.2 cm,Low
3323,20,71,51.9 kg,164.52 cm,High
3324,44,21,67.48 kg,161.2 cm,Average
3325,26,47,67.89 kg,150.31 cm,Low
3326,46,46,58.08 kg,161.32 cm,Average
3327,23,59,50.16 kg,164.5 cm,Average
3328,28,50,52.12 kg,161.61 cm,Low
3329,23,50,51.1 kg,159.51 cm,Average
3330,28,22,65.16 kg,154.43 cm,Low
3331,35,58,70.29 kg,156.92 cm,Average
3332,22,46,51.18 kg,176.86 cm,Low
3333,18,36,72.68 kg,165.19 cm,Low
3334,20,24,53.44 kg,171.37 cm,Average
3335,29,30,73.63 kg,166.37 cm,Low
3336,24,53,68.35 kg,168.96 cm,High
3337,37,43,54.07 kg,153.05 cm,Low
3338,39,43,67.36 kg,172.33 cm,Low
3339,16,93,,167.54 cm,Average
3340,23,54,63.22 kg,160.08 cm,Low
3341,26,30,67.47 kg,167.58 cm,Average
3342,36,36,65.28 kg,154.42 cm,Average
3343,17,84,75.97 kg,157.88 cm,High
3344,29,39,51.87 kg,159.84 cm,Low
3345,23,82,51.6 kg,150.86 cm,Average
3346,27,65,56.54 kg,178.07 cm,High
3347,17,89,77.4 kg,161.58 cm,Average
3348,13,51,76.73 kg,154.18 cm,High
3349,21,81,50.62 kg,166.3 cm,Average
3350,35,53,67.95 kg,151.76 cm,Average
3351,29,19,60.75 kg,170.37 cm,Low
3352,20,31,67.6 kg,169.52 cm,Average
3353,23,46,51.74 kg,164.27 cm,High
3354,41,54,50.64 kg,165.9 cm,Low
3355,23,36,55.33 kg,171.79 cm,Average
3356,33,31,80.0 kg,153.93 cm,Low
3357,19,63,52.61 kg,165.33 cm,
3358,19,67,74.32 kg,174.15 cm,Average
3359,38,49,78.41 kg,177.62 cm,Average
3360,19,83,71.62 kg,174.41 cm,High
3361,27,27,57.2 kg,167.43 cm,Low
3362,21,77,74.62 kg,172.19 cm,Average
3363,31,27,72.01 kg,173.32 cm,Average
3364,21,95,74.12 kg,158.57 cm,Average
3365,15,85,59.65 kg,173.37 cm,Average
3366,25,83,53.17 kg,163.1 cm,Average
3367,23,90,76.57 kg,157.19 cm,High
3368,26,92,70.51 kg,168.52 cm,High
3369,25,90,76.89 kg,158.97 cm,Average
3370,20,59,59.5 kg,176.7 cm,Average
3371,31,54,69.15 kg,173.12 cm,Average
3372,13,75,61.08 kg,170.1 cm,High
3373,20,68,77.02 kg,173.69 cm,High
3374,31,39,73.13 kg,171.86 cm,Average
3375,16,76,77.15 kg,161.1 cm,Average
3376,42,44,79.32 kg,174.45 cm,Low
3377,19,33,57.78 kg,173.93 cm,Average
3378,25,58,67.92 kg,151.28 cm,High
3379,34,30,65.36 kg,156.15 cm,Low
3380,19,92,57.9 kg,158.95 cm,High
3381,27,49,55.47 kg,169.49 cm,Average
3382,19,45,70.13 kg,169.53 cm,Low
3383,36,50,65.35 kg,157.82 cm,Low
3384,,44,77.88 kg,166.98 cm,Average
3385,48,30,71.03 kg,177.42 cm,Average
3386,30,78,79.85 kg,176.77 cm,High
3387,47,45,62.74 kg,152.56 cm,Low
3388,21,91,51.87 kg,154.83 cm,Average
3389,22,46,50.37 kg,171.84 cm,Average
3390,22,96,50.71 kg,170.2 cm,Average
3391,39,54,74.89 kg,168.8 cm,Average
3392,24,68,73.97 kg,171.08 cm,Average
3393,30,24,73.0 kg,151.02 cm,Low
3394,27,72,64.58 kg,157.01 cm,Average
3395,23,98,52.07 kg,177.13 cm,Average
3396,16,31,68.44 kg,154.45 cm,Average
3397,39,,67.13 kg,175.0 cm,Low
3398,27,64,68.9 kg,175.89 cm,Average
3399,20,79,74.8 kg,163.02 cm,High
3400,33,44,53.33 kg,179.94 cm,Low
3401,21,52,55.57 kg,162.08 cm,Low
3402,25,32,71.69 kg,168.0 cm,Average
3403,24,43,58.56 kg,158.41 cm,Low
3404,21,45,51.44 kg,156.1 cm,Low
3405,23,71,61.17 kg,156.08 cm,High
3406,21,25,79.0 kg,168.09 cm,Low
3407,19,45,73.04 kg,175.97 cm,High
3408,27,81,50.65 kg,170.26 cm,High
3409,18,60,50.89 kg,154.92 cm,High
3410,24,44,75.77 kg,155.5 cm,High
3411,30,51,51.7 kg,158.61 cm,Low
3412,16,74,57.89 kg,177.62 cm,High
3413,14,64,58.89 kg,171.52 cm,High
3414,22,79,54.69 kg,164.93 cm,Average
3415,40,20,74.51 kg,173.51 cm,Average
3416,16,49,59.89 kg,179.28 cm,High
3417,37,49,75.64 kg,162.5 cm,Low
3418,43,39,70.32 kg,166.41 cm,Average
3419,30,36,52.36 kg,153.57 cm,Low
3420,19,51,78.36 kg,165.02 cm,Average
3421,15,42,70.97 kg,157.94 cm,Average
3422,27,70,67.54 kg,171.19 cm,Average
3423,24,85,55.17 kg,163.74 cm,Average
3424,15,66,58.7 kg,172.6 cm,High
3425,22,41,54.1 kg,158.36 cm,Average
3426,14,86,51.71 kg,173.39 cm,High
3427,41,37,74.28 kg,157.44 cm,Average
3428,24,53,64.62 kg,168.98 cm,Low
3429,21,29,76.38 kg,150.99 cm,Low
3430,22,72,71.32 kg,158.6 cm,High
3431,38,33,61.9 kg,174.71 cm,Low
3432,31,39,65.32 kg,173.39 cm,Low
3433,29,87,56.57 kg,174.02 cm,High
3434,24,77,54.36 kg,160.77 cm,High
3435,23,62,62.37 kg,152.14 cm,Average
3436,32,50,56.07 kg,150.32 cm,Low
3437,20,40,51.2 kg,154.96 cm,Low
3438,21,78,69.44 kg,166.31 cm,High
3439,45,26,54.12 kg,171.47 cm,Low
3440,29,36,51.63 kg,169.44 cm,Average
3441,16,53,71.26 kg,159.86 cm,Low
3442,27,47,72.59 kg,166.98 cm,Low
3443,33,50,62.63 kg,154.75 cm,Low
3444,26,46,74.97 kg,155.9 cm,High
3445,20,43,78.76 kg,169.76 cm,Low
3446,27,53,57.38 kg,156.88 cm,Low
3447,16,63,52.27 kg,175.47 cm,Average
3448,17,72,64.1 kg,163.01 cm,Average
3449,18,44,55.28 kg,178.98 cm,Low
3450,27,54,55.32 kg,171.92 cm,Average
3451,21,48,77.18 kg,169.01 cm,Average
3452,14,71,50.66 kg,176.99 cm,Average
3453,31,32,78.59 kg,164.21 cm,Average
3454,28,31,60.52 kg,155.14 cm,Low
3455,,46,52.99 kg,174.94 cm,Average
3456,20,83,75.55 kg,165.32 cm,High
3457,21,46,74.14 kg,163.58 cm,High
3458,13,55,69.12 kg,171.78 cm,High
3459,23,26,57.1 kg,178.84 cm,Average
